"Track Name","Artist Name","Genre","Year","Lyrics","Spotify Genres","Release Date","Popularity","Explicit"
"Daffodils","Mark Ronson","pop soul","2015-01-12","[Verse 1: Kevin Parker]
Run your fingers down the cool underbelly of the blue evening
Crank that vapor wagon, start that kick dragon beating
Step out on the patio, follow where your daddy-o's leading

[Verse 2: Kevin Parker]
Wrestle with our shadow twins, hold 'em till they're glowin' in warning
Hit that bubble kit now, laughin' as you breathe out easy
Drop another daffodil, we can push on through till morning
Drop another daffodil, sail off the map until morning

[Instrumental Break]

[Verse 3: Kevin Parker]
Baby, just say no to sleep, bodies got to keep exploring
Sweet volcano violence, vast new continents spawning
Drop another daffodil, we can push on through till morning
Drop another daffodil, sail right off the map until morning

[Instrumental Break]

[Verse 4: Kevin Parker]
Put another record on, maybe Chaka Khan or Rocky
Catch on fire above the green empire of the Kraken
Flow with the isosceles to the beat of six knees knocking

[Outro: Kevin Parker]
Drop another daffodil, we can push on through till morning
Drop another daffodil, sail right off the map until morning
(Check it out)","","2015-01-12","53","False"
"You Don’t Have to Say You Love Me","Dusty Springfield","adult standards,british invasion,folk rock,soul,vocal jazz","2006-01-01","[Verse 1]
When I said I needed you
You said you would always stay
It wasn't me who changed but you
And now you've gone away
Don't you see that now you've gone
And I'm left here on my own
That I have to follow you
And beg you to come home?

[Chorus]
You don't have to say you love me
Just be close at hand
You don't have to stay forever
I will understand
Believe me, believe me
I can't help but love you
But believe me
I'll never tie you down

[Verse 2]
Left alone with just a memory
Life seems dead and so unreal
All that's left is loneliness
There's nothing left to feel

[Chorus]
You don't have to say you love me
Just be close at hand
You don't have to stay forever
I will understand
Believe me, believe me
You don't have to say you love me
Just be close at hand
You don't have to stay forever
I will understand

[Outro]
Believe me, believe me, believe me","","1966-07","55","False"
"Where Is My Mind?","Pixies","alternative rock,boston rock,permanent wave,rock","1997-10-06","[Intro: Black Francis & Kim Deal]
Ooh, stop

[Verse 1: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, (Yeah) yeah
Your head will collapse, if there's nothing in it
And you'll ask yourself

[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
(Where is my mind?)
(Where is my mind?)
(Where is my mind?)
Way out in the water, see it swimmin'

[Verse 2: Black Francis]
I was swimmin' in the Caribbean
Animals were hidin' behind the rock
Except the little fish
Bump into me, swear he's tryin' a talk to me, say wait, wait
[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
(Where is my mind?)
(Where is…)
Way out in the water, see it swimmin'

[Guitar Solo]

[Verse 1: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, yeah (Brr)
Your head will collapse, if there's nothing in it
And you'll ask yourself

[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
(Where is my mind?)
(Where is…)
(Where is my mind?)
Way out in the water, see it swimmin'

[Outro: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, yeah","alternative rock","1988-03-21","77","False"
"Beautiful Goodbye","Maroon 5","pop","2012-01-01","[Verse 1]
I count the ways I let you down
On my fingers and toes, but I'm running out
Clever words can't help me now
I grip you tight, but you're slipping out

[Pre-Chorus 1]
And I remember your eyes were so bright
When I first met you, so in love that night
And now I'm kissing your tears goodnight
And I can't take it, you're even perfect when you cry

[Chorus]
Beautiful goodbye (Bye-bye, bye-bye)
It's dripping from your eyes (Bye-bye, bye-bye)
Your beautiful goodbye, whoa (Bye-bye, bye-bye)
It's dripping from your eyes (Bye-bye, bye-bye)
Oh, yeah

[Verse 2]
When did the rain become a storm?
When did the clouds begin to form?
Yeah, we got knocked off course by a natural force
And we'll, we'll be swimming when it's gone

[Pre-Chorus 1]
And I remember your eyes were so bright
When I first met you, so in love that night
And now I'm kissing your tears goodnight
And I can't take it, you're even perfect when you cry

[Chorus]
Beautiful goodbye (Bye-bye, bye-bye)
It's dripping from your eyes (Bye-bye, bye-bye)
Your beautiful goodbye, whoa (Bye-bye, bye-bye)
It's dripping from your eyes (Bye-bye, bye-bye)
Oh, yeah

[Bridge]
All the pain you try to hide
Shows through your mascara lines
As they stream down from your eyes
And let them go, let them fly
Holding back won't turn back time
Believe me, I've tried

[Pre-Chorus 2]
And your eyes were so bright
I remember your eyes were so bright
And I remember your eyes were so bright
When I first met you, how in love were we that night?
And now I'm kissing your tears goodnight
And I can't take it, you're even perfect when you cry

[Chorus]
Beautiful goodbye (Bye-bye, bye-bye)
Oh, yeah
It's dripping from your eyes (Bye-bye, bye-bye)
Your beautiful goodbye, whoa (Bye-bye, bye-bye)
It's dripping from your eyes (Bye-bye, bye-bye)
Yeah, yeah

[Outro]
Ooh, ooh
Oh, oh, yeah
Hee, oh","pop","2012-01-01","49","False"
"Replay","Zendaya","pop,post-teen pop","2013-01-01","[Verse 1]
Make it stop, sounds so good
I just can't take no more
Turn it down, turn it up, I don't know
I don't know (Know)
But don't stop (Ah), don't move (Ah)
Just keep it there (Right there)
Keep it right there (Hmm)
Keep it right there

[Pre-Chorus]
I wanna put you on repeat, play you everywhere I go
E-e-everywhere I go, play you everywhere I go
Put you on repeat, play you everywhere I go (I go)
E-e-everywhere I go, play you everywhere I go

[Chorus]
Yeah, wanna put this song on replay
I can listen to it all day
I can listen to you all day, you all day
Yeah, wanna put this song on replay
We can start all over again, and again (Yeah)
Yeah, wanna put this song on—

[Verse 2]
Don't stop (Stop), turn it on
Turn it up, make it louder (Yeah)
I don't wanna miss a single thing
I wanna hear every melody (Yeah)
B-b-b-beating (Beating, beating)
Beating so loud, you can feel it (Feel it, feel it)
B-b-b-beating (Beating, beating)
Beating for you

[Pre-Chorus]
I wanna put you on repeat, play you everywhere I go
E-e-everywhere I go, play you everywhere I go
Put you on repeat, play you everywhere I go (I go)
E-e-everywhere I go, play you everywhere I go

[Chorus]
Yeah, wanna put this song on replay
I can listen to it all day
I can listen to you all day, you all day
Yeah, wanna put this song on replay
We can start all over again, and again (Yeah)
Yeah, wanna put this song on re—

[Bridge]
Feel it all (I feel it)
I feel it all crashing down (Down, down)
I'm so lost, I'm so lost in your sound (Sound)
Replay (Yeah), wanna put this song on replay
P-p-put this song on replay (On replay)
Lis-listen to you all day, to you all day

[Chorus]
Yeah, wanna put this song on replay (Song on replay)
I can listen to it all day
I can listen to you all day, you all day
Yeah, wanna put this song on replay
We can start all over again, and again
Yeah, wanna put this song on re—

[Outro]
Yeah
Yeah","","2013-01-01","66","False"
"Southern Sky","Shannon Noll","australian country,australian pop,australian rock","2018-02-02","I wanna live, I wanna die, under the light of the great Southern Sky
I wanna run, straight through the night, chasing the stars with a heart open wide – under a great Southern Sky

There’s a song you can hear it playing in a country town; the anthem of the young and free that’s what I’m talking bout. Like flooding rains and overflows, desert plains and red dugouts walk abouts that take me home, a place that everybody knows

Ooohhh oh oh oh oh oh oh oh oohh oh
In the state I’m in is on my mind
Ooohhh oh oh oh oh oh oh oh oohh oh

In the place I live I’m so alive
Toniiiiiightttttt:

I wanna live, I wanna die under the light of the great Southern Sky
I wanna run, straight through the night chasing the stars with a heart open wide
High on a plainnnnn, in thunder and raiiiiiiiinnn
I wanna live, I wanna die, under the light of the great Southern Sky

There’s a spirit, can you feel it going in this country wide? From the burning sun in Arnhem land across the great divide
Children singing out aloud: we are one and we are proud, the future’s starting here and now, sing it all together now:

Ooohhh oh oh oh oh oh oh oh oohh oh
In the place I live I’m so alive
Toniiiiiightttttt:

I wanna live, I wanna die under the light of the great Southern Sky
I wanna run, straight through the night, chasing the stars with a heart open wide
High on a plainnnnn in thunder and raiiiiiiiinnn
I wanna live, I wanna die under the light of the great Southern Sky

Ooohhh oh oh oh oh oh oh oh oohh oh
Under the light of the great Southern Sky
Ooohhh oh oh oh oh oh oh oh oohh oh
I wanna live, I wanna die, under the light of the great Southern Sky
I wanna run, straight through the night, chasing the stars with a heart open wide
High on a plainnnnn, in thunder and raiiiiiiiinnn
I wanna live, I wanna die, under the light of the great Southern Sky

Ooohhh oh oh oh oh oh oh oh oohh oh
Under the light of the great Southern Sky
Ooohhh oh oh oh oh oh oh oh oohh oh
Under the light of the great Southern Sky
Toniiiiiightttttt","","2018-02-02","25","False"
"Pop Smoke - For the Night ft. Lil Baby & DaBaby (Русский перевод)","Genius Russian Translations (Русский перевод)","brooklyn drill,hip hop,rap,atl hip hop,atl trap,rap,trap,hip hop,north carolina hip hop,pop rap,rap,trap","2020-07-03","[Перевод песни Pop Smoke — «For the Night» ft. Lil Baby & DaBaby]

[Интро: Pop Smoke]
CashMoneyAP
Хватай их, хватай их, хватай их, о
О (Я пытаюсь схватить их), о (Я пытаюсь схватить их)
О, о (Хватай их), о
О (Получаю большой на этом), о, о, о
О, о, о, о
О, о, о
Чего ты хочешь? Я не повторять, е
Я вор в ночи (Вор в ночи), о

[Припев: Pop Smoke]
Я сделал что-то не так (О-о), но я всегда прав (О-о)
Сказал, я знаю, как стрелять (О-о) и я знаю, как драться
Если я сказал тебе раз, то я не повторю
Я очень осторожный, как вор в ночи (Смотри)

[Куплет 1: Pop Smoke]
Если я зову тебя деткой, то ты детка на день
Или детка на ночь, ты не моя жена
Она хочет убийцу, чтобы трахаться всю ночь
Я хочу трахаться с тати, соси мне всю ночь
AP, большие камни, на районе с гориллами
Пять тыщ на обед, приношу триста тысяч дилеру

[Припев: Pop Smoke & Lil Baby]
Я сделал что-то не так (О-о), но я всегда прав (О-о)
Сказал, я знаю, как стрелять (О-о) и я знаю, как драться
Если я сказал тебе раз, то я не повторю
Я очень осторожный, как вор в ночи (Бэйби)

[Куплет 2: Lil Baby]
Я богатый, но я катаюсь, у меня мало экзотики, я должен вылететь и получить немного
Ничего не видел, все эти деньги на мне, сотня пачек в сумке, это медовая булочка
Baby OG, я бегал по этим улицам, получил игру из Lashawn
Я сын своей мамы
Выучил о тройном кресте, когда был молодым и я знаю, что не пойду, так что я держу пушку
Я полетел в Париж просто, чтобы купить Dior
Она просит внимания, я не вижу её
C.I.P Pop, я хочу, чтобы ты мог увидеть нас
Я и Cash плюс кто бы то ни был, я иду снова
У получил ниггеров на улице, не побьёшь меня
Я получил индустрию, пытаешься быть мной
Я просто Рэй Чарльз, они не могут увидеть меня
Я в Rolls-Royce с RiRi

[Припев: Pop Smoke & DaBaby]
Я сделал что-то не так (О-о), но я всегда прав (О-о)
Сказал, я знаю, как стрелять (О-о) и я знаю, как драться
Если я сказал тебе раз, то я не повторюсь дважды
Я реально осторожный, как вор в ночи (Да)

[Куплет 3: DaBaby & Pop Smoke]
Как вор в ночи (Вор)
Я подъехал, дал ей D на ночь (Ах-хах)
Пытаюсь потрахаться в V, это хорошо (Давай трахаться)
Мы не можем испачкать мои сиденья, потому что они белые (Это мои сиденья, смотри на мои сиденья)
Я живу, как в ""Thriller"", я выхожу только ночью
Она не трахается с ликёром, не любит быть выпившей
Она не пьёт Henny, только белое вино (Что она делает?)
Открыл пробку в новом Pinot Grigio (Да)
Подъехал на Porsche с причудливой шлюхой (Зум)
Паркую Porsche и подъезжаю на Lambo (Хмф)
Я выпрыгиваю, Майор Пейн, раскачиваю камуфляж (Да сэр)
Думаю она милая, заставляю её трахаться, дай её мужчине идти (Она милая)
Люблю стрелять, зажигать тебя, сука, я Рембо
Кубинская ссылка полна камней, это чокер (О)
Покойся с миром Pop, заставь меня скурить тебя

[Припев: Pop Smoke]
Я сделал что-то не так (О-о), но я всегда прав (О-о)
Сказал, я знаю, как стрелять (О-о) и я знаю, как драться
Если я сказал тебе раз, то я не повторюсь дважды
Я очень осторожный, как вор в ночи","brooklyn drill, drill, new york drill","2020-07-03","75","True"
"Funhouse","P!nk","dance pop,pop","2008-10-24","[Verse 1]
I dance around this empty house
Tear us down, throw you out
Screaming down the halls
Spinnin' all around and now we fall

[Pre-Chorus 1]
Pictures framing up the past
Your taunting smirk behind the glass
This museum full of ash
Once a tickle, now a rash

[Chorus]
This used to be our funhouse
But now it's full of evil clowns
It's time to start the countdown
I'm gonna burn it down, down, down
I'm gonna burn it down

[Post-Chorus]
Ten, nine, eight, seven, six, five, four, three, two, one (Fun)

[Verse 2]
Echoes knockin' on locked doors
All the laughter from before
I'd rather live out on the street
Than in this haunted memory

[Pre-Chorus 2]
I've called the movers, called the maids
We'll try to exorcise this place
Drag my mattress to the yard
Crumble, tumble, house of cards

[Chorus]
This used to be our funhouse
But now it's full of evil clowns
It's time to start the countdown
I'm gonna burn it down, down, down
This used to be our funhouse
But now it's full of evil clowns
It's time to start the countdown
I'm gonna burn it down, down, down
I'm gonna burn it down (Down, down, down)

[Post-Chorus]
Ten, nine, eight, seven, six, five, four, three, two, one (Fun)
(Down, down, down)

[Bridge]
Oh
I'm crawling through the doggy door
My key don't fit my lock no more
I'll change the drapes
I'll break the plates
I'll find a new place
Burn this fucker down

[Interlude]
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do
Do, do, do, do, da, da, da, da
Do-do-do-do, do-do, do
(Nine, eight, seven, six, five, four, three, two, one)
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do

[Chorus]
This used to be our funhouse
But now it's full of evil clowns
It's time to start the countdown
I'm gonna burn it down, down, down
This used to be our funhouse
But now it's full of evil clowns
It's time to start the countdown
I'm gonna burn it down, down, down
I'm gonna burn it down","","2008-10-24","56","True"
"Where The Boys Are","Connie Francis","adult standards,brill building pop,easy listening,rock-and-roll,rockabilly","1987-01-12","[Verse 1]
Where the boys are
Someone waits for me
A smilin' face, a warm embrace
Two arms to hold me tenderly

[Verse 2]
Where the boys are
My true love will be
He's walking down some street in town
And I know he's lookin' there for me

[Bridge]
In the crowd of a million people
I'll find my valentine
And then I'll climb to the highest steeple
And tell the world he's mine

[Chorus]
'Til he holds me, I'll wait impatiently
Where the boys are
Where the boys are
Where the boys are, someone waits for me
'Til he holds me, I'll wait impatiently
Where the boys are
Where the boys are
Where the boys are, someone waits for me","schlager","1963-10-01","47","False"
"Carol","Tommy Roe","bubblegum pop,classic garage rock,merseybeat,rock-and-roll","2001-01-01","Oh Carol, don't let him steal your heart away
I'm gonna learn to dance if it takes me all night and day

Climb into my machine so we can cruise on out
I know a swingin' little joint where we can jump and shout
It's not too far back off the highway, not so long a ride
You park your car out in the open, you can walk inside
A little cutie takes your hat and you can thank her, ma'am
Every time you make the scene you find the joint is jammed

Oh Carol, don't let him steal your heart away
I'm gonna learn to dance if it takes me all night and day

And if you wanna hear some music like the boys are playin'
Hold tight, pat your foot, don't let 'em carry it away
Don't let the heat overcome you when they play so loud
Oh, don't the music intrigue you when they get a crowd
You can't dance, I know you wish you could
I got my eyes on you baby, 'cause you dance so good

Oh Carol, don't let him steal your heart away
I'm gonna learn to dance if it takes me all night and day

Don't let him steal your heart away
I've got to learn to dance if it takes you all night and day
Oh Carol","bubblegum pop","2001-01-01","11","False"
"Ebony and Ivory","Paul McCartney","classic rock,mellow gold,rock,soft rock","1987-11-02","[Chorus: Paul McCartney & Paul McCartney & Stevie Wonder]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?

[Verse: Paul McCartney, Stevie Wonder]
We all know that people are the same wherever you go
There is good and bad in everyone
And we learn to live, we learn to give each other
What we need to survive together alive

[Chorus: Stevie Wonder, Paul McCartney & Stevie Wonder]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?

[Bridge: Backing singers]
Ebony, ivory
Living in perfect harmony
Ebony, ivory, ooh

[Verse: Stevie Wonder, Paul McCartney & Both]
We all know that people are the same wherever you go
There is good and bad (Mm, hmm) in everyone
We learn to live when we learn to give each other
What we need to survive together alive

[Chorus: Paul McCartney, Stevie Wonder, Paul McCartney & Stevie Wonder]
Ebony and ivory
Live together in perfect harmony
Side by side on my piano keyboard
Oh Lord, why don't we?
Side by side on my piano keyboard
Oh Lord, why don't we?
Mm, hmm

[Outro: Paul McCartney, Stevie Wonder & Backing singers]
Ebony, ivory
Living in perfect harmony
Ebony, ivory
Living in perfect harmony Ivory
Ebony, ivory Ebony
Living in perfect harmony Whoa-oh-oh, ivory
Ebony, ivory Ebony
Living in perfect harmony Whoa-oh, ivory
Ebony, ivory Ebony
Living in perfect harmony
Ebony, ivory","","1982-04-26","58","False"
"Billy Don’t Be a Hero","Paper Lace","bubblegum pop,classic uk pop","2008-06-01","The marchin' band came down along Main Street
The soldier-blues fell in behind
I looked across and there I saw Billy
Waiting to go and join the line

And with her head upon his shoulder
His young and lovely fiancee
From where I stood I saw she was cryin'
And through her tears I heard her say:

""Billy, don't be a hero, don't be a fool with your life
Billy, don't be a hero, come back and make me your wife""
And as Billy started to go she said: ""Keep your pretty head low
Billy, don't be a hero, come back to me""

The soldier-blues were trapped on a hillside
The battle raging all around
The sergeant cried: ""We've gotta hang on, boys
We've gotta hold this piece of ground

I need a volunteer to ride out
And bring us back some extra men""
And Billy's hand was up in a moment
Forgettin' all the words she said. She said:

""Billy, don't be a hero, don't be a fool with your life
Billy, don't be a hero, come back and make me your wife""
And as Billy started to go she said: ""Keep your pretty head low
Billy, don't be a hero, come back to me""

I heard his fiancee got a letter
That told how Billy died that day
The letter said that he was a hero
She should be proud he died that way
I heard she threw the letter away","","2008-06-01","42","False"
"Rain","Dragon (NZ)","australian rock,kiwi rock","1984","[Verse 1]
Oh it's a happening thing, and it's happening to you
Full moon and thunder, ribbons of blue
Ice on the window, ice in my heart
Fooling with thunder, every time we start

[Refrain]
It's been raining for so long
It's been raining for so long

[Verse 2]
Oh is it any wonder, the streets are dark
Is it any wonder, we fall apart
Day after day strange rain falls down
All over town, rain come

[Refrain]
Oh, it's been raining for so long
It's been raining for so long

[Chorus]
Don't you go out in the rain
Don't go out in pouring rain
If you go out in the rain
We'll never have that time again

[Verse 3]
Is it any wonder, the streets are dark
Is it any wonder, we fall apart
All these feelings that seem so wrong
Remember when we were so strong

[Refrain]
Well it's been raining for so long
It's been raining I can't go on

[Chorus]
Don't you go out in the rain
Don't go out in pouring rain
If you go out in the rain
We'll never have that time again
Don't you go out in the rain
Don't go out in the pouring rain
If you go out in the rain
We'll never have that time again

[Outro]
Don't you go out in the rain","","1984","58","False"
"Window Shopper","50 Cent","east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","2017-03-31","[Intro]
Ohh!
The top feel so much better than the bottom
So much better
[Chorus]
Nigga, you's a window shopper
Mad at me, I think I know why
Nigga, you's a window shopper
In the jewelry store lookin' at shit you can't buy
Nigga, you's a window shopper
In the dealership tryna get a test drive
Nigga, you's a window shopper
Mad as fuck when you see me ride by

[Verse 1]
Summertime, white Porsche Carrera is milky
I'm on the grind, let my paper stack but I'm filthy
It's funny how niggas get to screw-facin' at me
Anyhow they ain't got the heart to get at me
I'll get down, Southside's the hood that I come from
So I don't cruise through nobody hood without my gun
They know the kid ain't goin' for all that bullshit
Try and stick me, I'ma let off a full clip
It ain't my fault you don' fucked up your re-up
At the dice game, who told you put a G up?
Everybody mad when they paper don't stack right
But when I come around y'all niggas better act right
When we got the tops, down, you can hear the systems thump
Nigga, when we rollin', rollin', rollin'
Shut your block, down, quick to put a hole in a chump
Nigga, when we rollin', rollin', rollin'

[Chorus]
Nigga, you's a window shopper
Mad at me, I think I know why
Nigga, you's a window shopper
In the jewelry store lookin' at shit you can't buy
Nigga, you's a window shopper
In the dealership tryna get a test drive
Nigga, you's a window shopper
Mad as fuck when you see me ride by

[Verse 2]
Niggas love me in L.A. as soon as I pop in
They come to scoop me up at LAX and I hop in
Now when it comes to bad bitches you know I got them
Some from Long Beach, some from Watts, some from Compton
You know a nigga wanna see how Cali girls freak off
After that five hour flight from New York
I start spittin' G at a bitch like a pimp, mane
Tell her, ""Meet me at the Mondrian so we can do our thang.""
She can bring the lingerie wit her, I sup-pose
Then we can go from fully dressed to just havin' no clothes
Then she can run and tell her best friend 'bout my sex game
Then her best friend could potentially be next, mane
Listen mane, shit, changed, I came up, I'm doin' my thang
Homie, I'm holdin', holdin', holdin'
Oh shit, mane, the store owner watchin' you
'Fore somethin' get stolen, stolen, stolen

[Chorus]
Nigga, you's a window shopper
Mad at me, I think I know why
Nigga, you's a window shopper
In the jewelry store lookin' at shit you can't buy
Nigga, you's a window shopper
In the dealership tryna get a test drive
Nigga, you's a window shopper
Mad as fuck when you see me ride by","east coast hip hop","2005-11-06","64","True"
"Best Day Of My Life - Single Version","American Authors","modern rock,pop rock","2014-01-01","I had a dream so big and loud
I jumped so high I touched the clouds
Wo-o-o-o-o-oh, wo-o-o-o-o-oh
I stretched my hands out to the sky
We danced with monsters through the night
Wo-o-o-o-o-oh, wo-o-o-o-o-oh
I'm never gonna look back
Woah, never gonna give it up
No, please don't wake me now
This is gonna be the best day of my life
My li-i-i-i-i-ife
This is gonna be the best day of my life
My li-i-i-i-i-ife
I howled at the moon with friends
And then the sun came crashing in
Wo-o-o-o-o-oh, wo-o-o-o-o-oh
But all the possibilities
No limits just epiphanies
Wo-o-o-o-o-oh, wo-o-o-o-o-oh
I'm never gonna look back
Woah, never gonna give it up
No, just don't wake me now
This is gonna be the best day of my life
My li-i-i-i-i-ife
This is gonna be the best day of my life
My li-i-i-i-i-ife
I hear it calling outside my window
I feel it in my soul (soul)
The stars were burning so bright
The sun was out 'til midnight
I say we lose control (control)
This is gonna be the best day of my life
My li-i-i-i-i-ife
This is gonna be the best day of my life
My li-i-i-i-i-ife
This is gonna be, this is gonna be, this is gonna be
The best day of my life
Everything is looking up, everybody up now
This is gonna be the best day of my life
My li-i-i-i-i-ife","","2020-03-20","28","False"
"Precious","Depeche Mode","dance rock,new romantic,new wave,permanent wave,rock,synthpop","2005-10-13","[Verse 1]
Precious and fragile things
Need special handling
My God, what have we done to you?
We always tried to share
The tenderest of care
Now look what we have put you through

[Chorus]
Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give

[Verse 2]
Angels with silver wings
Shouldn't know suffering
I wish I could take the pain for you
If God has a master plan
That only He understands
I hope it's your eyes He's seeing through

[Chorus]
Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give

[Interlude]

[Verse 3]
I pray you learn to trust
Have faith in both of us
And keep room in your hearts for two

[Chorus]
Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give","new wave, synthpop, darkwave","2005-10-13","67","False"
"One Call Away","Charlie Puth","pop,viral pop","2015-08-21","[Chorus]
I'm only one call away
I'll be there to save the day
Superman got nothing on me
I'm only one call away

[Verse 1]
Call me, baby, if you need a friend
I just wanna give you love
C'mon, c'mon, c'mon
Reaching out to you, so take a chance

[Pre-Chorus]
No matter where you go
You know you're not alone

[Chorus]
I'm only one call away
I'll be there to save the day
Superman got nothing on me
I'm only one call away

[Verse 2]
Come along with me and don't be scared
I just wanna set you free
C'mon, c'mon, c'mon
You and me can make it anywhere
But for now we could stay here for a while (Hey)
'Cause you know I just wanna see you smile

[Pre-Chorus]
No matter where you go
You know you're not alone

[Chorus]
I'm only one call away
I'll be there to save the day
Superman got nothing on me
I'm only one call away

[Bridge]
And when you're weak, I'll be strong
I'm gonna keep holding on
Now don't you worry, it won't be long, darling
And when you feel like hope is gone
Just run into my arms

[Chorus]
I'm only one call away
I'll be there to save the day
Superman got nothing on me
I'm only one, I'm only one call away
I'll be there to save the day
Superman got nothing on me
I'm only one call away

[Outro]
I'm only one call away","soft pop, pop","2015-11-05","71","False"
"MK Ultra","Muse","alternative rock,modern rock,permanent wave,rock","2009-09-10","[Verse 1]
The wavelength gently grows
Coercive notions re-evolve
A universe is trapped inside a tear
It resonates the core, creates unnatural laws
Replaces love and happiness with fear, ooh

[Chorus]
How much deception can you take?
How many lies will you create?
How much longer till you break?
Your mind's about to fall

[Bridge]
And they're breaking through
And they're breaking through
They're breaking through
(We are losing control)
They're breaking through
They're breaking through
They're breaking through
Now we're falling
We are losing control

[Verse 2]
Invisible to all
The mind becomes a wall
All of history deleted with one stroke, ooh

[Chorus]
How much deception can you take?
How many lies will you create?
How much longer till you break?
Your mind's about to fall

[Outro]
And they're breaking through
They're breaking through
They're breaking through
Now we're falling
We are losing control","alternative rock, rock","2009-09-10","51","False"
"Flowers in the Rain","The Move","beatlesque,freakbeat,protopunk","1968-03-01","[Verse 1]
Woke up one morning half asleep
With all my blankets in a heap
And yellow roses scattered all around
The time was still approaching four
I couldn't stand it anymore
Saw marigolds upon my eiderdown

[Chorus]
I'm just sitting watching flowers in the rain
Feel the power of the rain making the garden grow
I'm just sitting watching flowers in the rain
Feel the power of the rain keeping me good

[Verse 2]
So I lay upon my side
With all the windows open wide
Couldn't pressurize my head from speaking
Hoping not to make a sound
I pushed my bed into the grounds
In time to catch the sight that I was seeking

[Chorus]
I'm just sitting watching flowers in the rain
Feel the power of the rain making the garden grow
I'm just sitting watching flowers in the rain
Feel the power of the rain keeping me good

[Bridge]
If this perfect pleasure has to be
Then this is paradise to me
If my pillow's getting wet
I don't see that it matters much to me

[Verse 3]
I heard the flowers in the breeze
Make conversation with the trees
Relieved to leave reality behind me
With my commitments in a mess
My sleep has gone away depressed
In a world of fantasy you'll find me

[Chorus]
I'm just sitting watching flowers in the rain
Feel the power of the rain making the garden grow
I'm just sitting watching flowers in the rain
Feel the power of the rain keeping me good

[Outro]
Watching flowers in the rain
Power in the rain
Oh, flowers in the rain
Flower power in the rain
Powerful, flowerful rain
Flowerful, powerful, flowerful rain","glam rock, proto-punk, psychedelic pop, baroque pop, psychedelic rock, power pop","2017-09-29","23","False"
"Tellin Everybody","Human Nature","australian pop,australian rock,boy band","1996-11-29","Ain't no doubt about it
Girl you drive me wild
Seems you're wastin' over
My punishment befits your crime
I can't stop thinkin' about it
The things you've done to me
Baby you know you've got it
You bring a man right to his knees

I never been an angel
But you could show me how
I wanna be your baby
Na-na-na-na-now

CHORUS:
So I'm Tellin' everybody
Tellin' everybody what we did last night
Tellin' everybody
I never had a girl that felt so right
Tellin' everybody
Tellin' everybody what we did last night
Tellin' everybody
You're the reason why I had a good time

(Tellin' everybody what you're doin' to me
Tellin' everybody what you're doin')

Age defies your body
Looks defy my mind
Girl you take me higher
Lady you're perfect defined
So don't stop thinkin' about it
Ain't too much for me
I'll keep workin' it harder
I'll keep it up-won't bother me
I never been an angel
But you could show me how
I wanna be your baby
Na-na-na-na-now

CHORUS

(Tellin' everybody what you're doin' to me
Tellin' everybody what you're doin'
Tellin' everybody what you're doin' to me
Tellin' everybody what you're doin')

CHORUS to fade","christmas","1996-12-31","13","False"
